; RCP8.5 CO2 concentrations in ppm,
Date,Ca_constrain
2160,278.05158
2161,278.05158
2162,278.05158
2163,278.05158
2164,278.05158
2165,278.05158
2166,278.05158
2167,278.05158
2168,278.05158
2169,278.05158
2170,278.05158
2171,278.05158
2172,278.05158
2173,278.05158
2174,278.05158
2175,278.05158
2176,278.05158
2177,278.05158
2178,278.05158
2179,278.05158
2180,278.05158
2181,278.05158
2182,278.05158
2183,278.05158
2184,278.05158
2185,278.05158
2186,278.05158
2187,278.05158
2188,278.05158
2189,278.05158
2190,278.05158
2191,278.05158
2192,278.05158
2193,278.05158
2194,278.05158
2195,278.05158
2196,278.05158
2197,278.05158
2198,278.05158
2199,278.05158
2200,278.05158
2201,278.05158
2202,278.05158
2203,278.05158
2204,278.05158
2205,278.05158
2206,278.05158
2207,278.05158
2208,278.05158
2209,278.05158
2210,278.05158
2211,278.05158
2212,278.05158
2213,278.05158
2214,278.05158
2215,278.05158
2216,278.05158
2217,278.05158
2218,278.05158
2219,278.05158
2220,278.05158
2221,278.05158
2222,278.05158
2223,278.05158
2224,278.05158
2225,278.05158
2226,278.05158
2227,278.05158
2228,278.05158
2229,278.05158
2230,278.05158
2231,278.05158
2232,278.05158
2233,278.05158
2234,278.05158
2235,278.05158
2236,278.05158
2237,278.05158
2238,278.05158
2239,278.05158
2240,278.05158
2241,278.05158
2242,278.05158
2243,278.05158
2244,278.05158
2245,278.05158
2246,278.05158
2247,278.05158
2248,278.05158
2249,278.05158
2250,278.05158
2251,278.05158
2252,278.05158
2253,278.05158
2254,278.05158
2255,278.05158
2256,278.05158
2257,278.05158
2258,278.05158
2259,278.05158
2260,278.05158
2261,278.05158
2262,278.05158
2263,278.05158
2264,278.05158
2265,278.05158
2266,278.05158
2267,278.05158
2268,278.05158
2269,278.05158
2270,278.05158
2271,278.05158
2272,278.05158
2273,278.05158
2274,278.05158
2275,278.05158
2276,278.05158
2277,278.05158
2278,278.05158
2279,278.05158
2280,278.05158
2281,278.05158
2282,278.05158
2283,278.05158
2284,278.05158
2285,278.05158
2286,278.05158
2287,278.05158
2288,278.05158
2289,278.05158
2290,278.05158
2291,278.05158
2292,278.05158
2293,278.05158
2294,278.05158
2295,278.05158
2296,278.05158
2297,278.05158
2298,278.05158
2299,278.05158
2300,278.05158
