"scenario","year","variable","value","units","v"
"historical",1750,"veg_c",561.927038508612,"Pg C","3.0"
"historical",1751,"veg_c",561.915648156257,"Pg C","3.0"
"historical",1752,"veg_c",561.904768528896,"Pg C","3.0"
"historical",1753,"veg_c",561.894388090763,"Pg C","3.0"
"historical",1754,"veg_c",561.884500294491,"Pg C","3.0"
"historical",1755,"veg_c",561.8750642109,"Pg C","3.0"
"historical",1756,"veg_c",561.866004477496,"Pg C","3.0"
"historical",1757,"veg_c",561.857170218859,"Pg C","3.0"
"historical",1758,"veg_c",561.847258907433,"Pg C","3.0"
"historical",1759,"veg_c",561.836560784719,"Pg C","3.0"
"historical",1760,"veg_c",561.82563766593,"Pg C","3.0"
"historical",1761,"veg_c",561.814833413145,"Pg C","3.0"
"historical",1762,"veg_c",561.804286006384,"Pg C","3.0"
"historical",1763,"veg_c",561.794072552106,"Pg C","3.0"
"historical",1764,"veg_c",561.779209947646,"Pg C","3.0"
"historical",1765,"veg_c",561.759797857603,"Pg C","3.0"
"historical",1766,"veg_c",561.738286388555,"Pg C","3.0"
"historical",1767,"veg_c",561.716345136892,"Pg C","3.0"
"historical",1768,"veg_c",561.693047649271,"Pg C","3.0"
"historical",1769,"veg_c",561.667886466483,"Pg C","3.0"
"historical",1770,"veg_c",561.642134934432,"Pg C","3.0"
"historical",1771,"veg_c",561.616838819624,"Pg C","3.0"
"historical",1772,"veg_c",561.591814281461,"Pg C","3.0"
"historical",1773,"veg_c",561.567347493187,"Pg C","3.0"
"historical",1774,"veg_c",561.543867285141,"Pg C","3.0"
"historical",1775,"veg_c",561.521587316533,"Pg C","3.0"
"historical",1776,"veg_c",561.500499583828,"Pg C","3.0"
"historical",1777,"veg_c",561.480596886339,"Pg C","3.0"
"historical",1778,"veg_c",561.46184324604,"Pg C","3.0"
"historical",1779,"veg_c",561.444143713149,"Pg C","3.0"
"historical",1780,"veg_c",561.427390336069,"Pg C","3.0"
"historical",1781,"veg_c",561.411516857268,"Pg C","3.0"
"historical",1782,"veg_c",561.396406449029,"Pg C","3.0"
"historical",1783,"veg_c",561.382010175913,"Pg C","3.0"
"historical",1784,"veg_c",561.368267006327,"Pg C","3.0"
"historical",1785,"veg_c",561.345297465722,"Pg C","3.0"
"historical",1786,"veg_c",561.300621228777,"Pg C","3.0"
"historical",1787,"veg_c",561.240610388444,"Pg C","3.0"
"historical",1788,"veg_c",561.17320969716,"Pg C","3.0"
"historical",1789,"veg_c",561.103862071351,"Pg C","3.0"
"historical",1790,"veg_c",561.035622072731,"Pg C","3.0"
"historical",1791,"veg_c",560.969934186941,"Pg C","3.0"
"historical",1792,"veg_c",560.907306674667,"Pg C","3.0"
"historical",1793,"veg_c",560.847853068391,"Pg C","3.0"
"historical",1794,"veg_c",560.791479518696,"Pg C","3.0"
"historical",1795,"veg_c",560.737989199655,"Pg C","3.0"
"historical",1796,"veg_c",560.687096421758,"Pg C","3.0"
"historical",1797,"veg_c",560.638595590989,"Pg C","3.0"
"historical",1798,"veg_c",560.591638564987,"Pg C","3.0"
"historical",1799,"veg_c",560.545270036725,"Pg C","3.0"
"historical",1800,"veg_c",560.49959228709,"Pg C","3.0"
"historical",1801,"veg_c",560.455067039863,"Pg C","3.0"
"historical",1802,"veg_c",560.411947905701,"Pg C","3.0"
"historical",1803,"veg_c",560.370314414439,"Pg C","3.0"
"historical",1804,"veg_c",560.330151660602,"Pg C","3.0"
"historical",1805,"veg_c",560.291344704652,"Pg C","3.0"
"historical",1806,"veg_c",560.253475656578,"Pg C","3.0"
"historical",1807,"veg_c",560.218393328392,"Pg C","3.0"
"historical",1808,"veg_c",560.185841118014,"Pg C","3.0"
"historical",1809,"veg_c",560.155597162312,"Pg C","3.0"
"historical",1810,"veg_c",560.127388678413,"Pg C","3.0"
"historical",1811,"veg_c",560.082416952939,"Pg C","3.0"
"historical",1812,"veg_c",560.017254158719,"Pg C","3.0"
"historical",1813,"veg_c",559.938309067593,"Pg C","3.0"
"historical",1814,"veg_c",559.852681454168,"Pg C","3.0"
"historical",1815,"veg_c",559.764449101055,"Pg C","3.0"
"historical",1816,"veg_c",559.675533593356,"Pg C","3.0"
"historical",1817,"veg_c",559.569601277546,"Pg C","3.0"
"historical",1818,"veg_c",559.435576595719,"Pg C","3.0"
"historical",1819,"veg_c",559.283617092268,"Pg C","3.0"
"historical",1820,"veg_c",559.12485830597,"Pg C","3.0"
"historical",1821,"veg_c",558.966048218968,"Pg C","3.0"
"historical",1822,"veg_c",558.810409723959,"Pg C","3.0"
"historical",1823,"veg_c",558.658704930434,"Pg C","3.0"
"historical",1824,"veg_c",558.510979350616,"Pg C","3.0"
"historical",1825,"veg_c",558.365379778373,"Pg C","3.0"
"historical",1826,"veg_c",558.222136565352,"Pg C","3.0"
"historical",1827,"veg_c",558.081898905521,"Pg C","3.0"
"historical",1828,"veg_c",557.944997102205,"Pg C","3.0"
"historical",1829,"veg_c",557.811424639065,"Pg C","3.0"
"historical",1830,"veg_c",557.680909557039,"Pg C","3.0"
"historical",1831,"veg_c",557.553146208599,"Pg C","3.0"
"historical",1832,"veg_c",557.4279033788,"Pg C","3.0"
"historical",1833,"veg_c",557.293077042403,"Pg C","3.0"
"historical",1834,"veg_c",557.147373557989,"Pg C","3.0"
"historical",1835,"veg_c",556.996213578022,"Pg C","3.0"
"historical",1836,"veg_c",556.844047147013,"Pg C","3.0"
"historical",1837,"veg_c",556.684727757859,"Pg C","3.0"
"historical",1838,"veg_c",556.518569128105,"Pg C","3.0"
"historical",1839,"veg_c",556.34996490641,"Pg C","3.0"
"historical",1840,"veg_c",556.182257550385,"Pg C","3.0"
"historical",1841,"veg_c",556.017122226435,"Pg C","3.0"
"historical",1842,"veg_c",555.855141141021,"Pg C","3.0"
"historical",1843,"veg_c",555.696300126959,"Pg C","3.0"
"historical",1844,"veg_c",555.54034910876,"Pg C","3.0"
"historical",1845,"veg_c",555.386940460982,"Pg C","3.0"
"historical",1846,"veg_c",555.235713066516,"Pg C","3.0"
"historical",1847,"veg_c",555.086269713762,"Pg C","3.0"
"historical",1848,"veg_c",554.93733159325,"Pg C","3.0"
"historical",1849,"veg_c",554.788462531865,"Pg C","3.0"
"historical",1850,"veg_c",554.639649744448,"Pg C","3.0"
"historical",1851,"veg_c",554.49091422709,"Pg C","3.0"
"historical",1852,"veg_c",554.345692074657,"Pg C","3.0"
"historical",1853,"veg_c",554.189990717805,"Pg C","3.0"
"historical",1854,"veg_c",554.044249035284,"Pg C","3.0"
"historical",1855,"veg_c",553.906765166631,"Pg C","3.0"
"historical",1856,"veg_c",553.776645653512,"Pg C","3.0"
"historical",1857,"veg_c",553.65184576947,"Pg C","3.0"
"historical",1858,"veg_c",553.532304409749,"Pg C","3.0"
"historical",1859,"veg_c",553.416901957728,"Pg C","3.0"
"historical",1860,"veg_c",553.304888909136,"Pg C","3.0"
"historical",1861,"veg_c",553.197073337899,"Pg C","3.0"
"historical",1862,"veg_c",553.092031089533,"Pg C","3.0"
"historical",1863,"veg_c",553.004162262069,"Pg C","3.0"
"historical",1864,"veg_c",552.916211335573,"Pg C","3.0"
"historical",1865,"veg_c",552.828334235374,"Pg C","3.0"
"historical",1866,"veg_c",552.742133076586,"Pg C","3.0"
"historical",1867,"veg_c",552.658791463023,"Pg C","3.0"
"historical",1868,"veg_c",552.579040519342,"Pg C","3.0"
"historical",1869,"veg_c",552.502895682582,"Pg C","3.0"
"historical",1870,"veg_c",552.430143142131,"Pg C","3.0"
"historical",1871,"veg_c",552.360492448848,"Pg C","3.0"
"historical",1872,"veg_c",552.289208690759,"Pg C","3.0"
"historical",1873,"veg_c",552.201913312943,"Pg C","3.0"
"historical",1874,"veg_c",552.120463985788,"Pg C","3.0"
"historical",1875,"veg_c",552.043963877563,"Pg C","3.0"
"historical",1876,"veg_c",551.971794373422,"Pg C","3.0"
"historical",1877,"veg_c",551.903914625765,"Pg C","3.0"
"historical",1878,"veg_c",551.840230019895,"Pg C","3.0"
"historical",1879,"veg_c",551.78054148979,"Pg C","3.0"
"historical",1880,"veg_c",551.724558492831,"Pg C","3.0"
"historical",1881,"veg_c",551.672274761311,"Pg C","3.0"
"historical",1882,"veg_c",551.616841604383,"Pg C","3.0"
"historical",1883,"veg_c",551.576502387193,"Pg C","3.0"
"historical",1884,"veg_c",551.538598915775,"Pg C","3.0"
"historical",1885,"veg_c",551.501357944941,"Pg C","3.0"
"historical",1886,"veg_c",551.455985947198,"Pg C","3.0"
"historical",1887,"veg_c",551.40102096107,"Pg C","3.0"
"historical",1888,"veg_c",551.341080986869,"Pg C","3.0"
"historical",1889,"veg_c",551.278497733006,"Pg C","3.0"
"historical",1890,"veg_c",551.215182173932,"Pg C","3.0"
"historical",1891,"veg_c",551.152454814102,"Pg C","3.0"
"historical",1892,"veg_c",551.090294896322,"Pg C","3.0"
"historical",1893,"veg_c",551.024072410567,"Pg C","3.0"
"historical",1894,"veg_c",550.957198414138,"Pg C","3.0"
"historical",1895,"veg_c",550.887070863816,"Pg C","3.0"
"historical",1896,"veg_c",550.816366427475,"Pg C","3.0"
"historical",1897,"veg_c",550.745958665439,"Pg C","3.0"
"historical",1898,"veg_c",550.675888167796,"Pg C","3.0"
"historical",1899,"veg_c",550.60620406985,"Pg C","3.0"
"historical",1900,"veg_c",550.537486620469,"Pg C","3.0"
"historical",1901,"veg_c",550.46963821945,"Pg C","3.0"
"historical",1902,"veg_c",550.389228220657,"Pg C","3.0"
"historical",1903,"veg_c",550.309923218478,"Pg C","3.0"
"historical",1904,"veg_c",550.22568700579,"Pg C","3.0"
"historical",1905,"veg_c",550.133778977111,"Pg C","3.0"
"historical",1906,"veg_c",550.033731576033,"Pg C","3.0"
"historical",1907,"veg_c",549.935086432505,"Pg C","3.0"
"historical",1908,"veg_c",549.843695724336,"Pg C","3.0"
"historical",1909,"veg_c",549.759806025223,"Pg C","3.0"
"historical",1910,"veg_c",549.68300348833,"Pg C","3.0"
"historical",1911,"veg_c",549.613591889327,"Pg C","3.0"
"historical",1912,"veg_c",549.565072496472,"Pg C","3.0"
"historical",1913,"veg_c",549.531449161255,"Pg C","3.0"
"historical",1914,"veg_c",549.508668767535,"Pg C","3.0"
"historical",1915,"veg_c",549.491584170515,"Pg C","3.0"
"historical",1916,"veg_c",549.479762339647,"Pg C","3.0"
"historical",1917,"veg_c",549.470835888372,"Pg C","3.0"
"historical",1918,"veg_c",549.465776001961,"Pg C","3.0"
"historical",1919,"veg_c",549.464666482194,"Pg C","3.0"
"historical",1920,"veg_c",549.466552419306,"Pg C","3.0"
"historical",1921,"veg_c",549.470249530305,"Pg C","3.0"
"historical",1922,"veg_c",549.467777137401,"Pg C","3.0"
"historical",1923,"veg_c",549.469735954421,"Pg C","3.0"
"historical",1924,"veg_c",549.47262726403,"Pg C","3.0"
"historical",1925,"veg_c",549.478121964238,"Pg C","3.0"
"historical",1926,"veg_c",549.486850248081,"Pg C","3.0"
"historical",1927,"veg_c",549.498406137868,"Pg C","3.0"
"historical",1928,"veg_c",549.504793645055,"Pg C","3.0"
"historical",1929,"veg_c",549.515311728259,"Pg C","3.0"
"historical",1930,"veg_c",549.524233112782,"Pg C","3.0"
"historical",1931,"veg_c",549.52113556866,"Pg C","3.0"
"historical",1932,"veg_c",549.52007082971,"Pg C","3.0"
"historical",1933,"veg_c",549.54266219734,"Pg C","3.0"
"historical",1934,"veg_c",549.565312469781,"Pg C","3.0"
"historical",1935,"veg_c",549.590854032711,"Pg C","3.0"
"historical",1936,"veg_c",549.618036049742,"Pg C","3.0"
"historical",1937,"veg_c",549.645186628909,"Pg C","3.0"
"historical",1938,"veg_c",549.680019283218,"Pg C","3.0"
"historical",1939,"veg_c",549.717390323191,"Pg C","3.0"
"historical",1940,"veg_c",549.756838703353,"Pg C","3.0"
"historical",1941,"veg_c",549.801373603343,"Pg C","3.0"
"historical",1942,"veg_c",549.85280682374,"Pg C","3.0"
"historical",1943,"veg_c",549.9024418488,"Pg C","3.0"
"historical",1944,"veg_c",549.955719834514,"Pg C","3.0"
"historical",1945,"veg_c",550.010381342034,"Pg C","3.0"
"historical",1946,"veg_c",550.067141580289,"Pg C","3.0"
"historical",1947,"veg_c",550.105094591775,"Pg C","3.0"
"historical",1948,"veg_c",550.138774350739,"Pg C","3.0"
"historical",1949,"veg_c",550.175171082336,"Pg C","3.0"
"historical",1950,"veg_c",550.21448065372,"Pg C","3.0"
"historical",1951,"veg_c",550.255181603438,"Pg C","3.0"
"historical",1952,"veg_c",550.255646951224,"Pg C","3.0"
"historical",1953,"veg_c",550.260522250045,"Pg C","3.0"
"historical",1954,"veg_c",550.275865344314,"Pg C","3.0"
"historical",1955,"veg_c",550.289129154398,"Pg C","3.0"
"historical",1956,"veg_c",550.302661827141,"Pg C","3.0"
"historical",1957,"veg_c",550.315675418507,"Pg C","3.0"
