"scenario","year","co2_MTC","gmst"
"GCAM_SSP4",2100,263535.440080775,3.39559
"GCAM_SSP5",1975,3917.25816396987,0.1173
"GCAM_SSP5",1990,10858.2010679998,0.384228
"GCAM_SSP5",2005,19317.3044044451,0.700994
"GCAM_SSP5",2010,29262.1566790414,0.824743
"GCAM_SSP5",2015,40675.2243484482,0.977712
"GCAM_SSP5",2020,53291.0000784219,1.126361
"GCAM_SSP5",2025,68379.1549842585,1.26756
"GCAM_SSP5",2030,84597.0321120438,1.43637
"GCAM_SSP5",2035,102467.235475918,1.62247
"GCAM_SSP5",2040,121305.902785264,1.82634
"GCAM_SSP5",2045,141037.128569048,2.04895
"GCAM_SSP5",2050,161235.444015389,2.2873
"GCAM_SSP5",2055,182377.244440452,2.52433
"GCAM_SSP5",2060,204187.829875401,2.76165
"GCAM_SSP5",2065,226564.428225488,2.99968
"GCAM_SSP5",2070,249431.536654351,3.23684
"GCAM_SSP5",2075,272623.770374573,3.46984
"GCAM_SSP5",2080,295715.823293821,3.69697
"GCAM_SSP5",2085,318569.057346977,3.91636
"GCAM_SSP5",2090,341058.178990245,4.12601
"GCAM_SSP5",2095,363161.007726476,4.32492
"GCAM_SSP5",2100,384907.95003113,4.51309
